Test Name,Benchmark,Percentage,AMAT,Max Cycle Count,L3 Accesses,L2 Private Hit Rate,L2 Shared Hit Rate,L2 MPKI,L2S MPKI,L2P MPKI
20_502_gcc_r,502_gcc_r,20,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
20_502xleela,502xleela,20,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
20_527_cam4_r,527_cam4_r,20,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
20_557_xz_r,557_xz_r,20,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
20_527xleela,527xleela,20,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
20_541_leela_r,541_leela_r,20,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
20_557xleela,557xleela,20,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
20_fill_private_microbench,fill_private_microbench,20,6.608439001622018,77988277312,6018906011,0.38244193246778024,0.12283244548619462,128.80657086393077,60.18905691095163,68.61751395297914
20_flush_and_reload,flush_and_reload,20,6.974631305178251,712139078,132357819,3.8909525712223e-06,0.0,62.963686000506726,31.481843000253363,31.481843000253363
20_noah_scs,noah_scs,20,14.690518385847586,31135865505,10646537864,5.6759626459573184e-08,0.0011676916564989273,213.05518365414636,106.46535980308389,106.58982385106246
20_program,program,20,4.9840544199437256,14659653315,955644500,9.281608037441441e-06,0.0,19.112887631722092,9.556443815861046,9.556443815861046
20_shared_data_microbench,shared_data_microbench,20,4.590577457128029,7354856754,19884,1.2543791170307314e-06,0.9999952509319021,41.86943582943914,0.00019883985766844147,41.86923698958147
25_502_gcc_r,502_gcc_r,25,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
25_502xleela,502xleela,25,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
25_527_cam4_r,527_cam4_r,25,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
25_527xleela,527xleela,25,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
25_541_leela_r,541_leela_r,25,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
25_557_xz_r,557_xz_r,25,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
25_557xleela,557xleela,25,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
25_flush_and_reload,flush_and_reload,25,6.97461780136755,712828093,132356534,3.875879763319289e-06,0.0,62.96307471560401,31.481537357802004,31.481537357802004
25_fill_private_microbench,fill_private_microbench,25,6.561039350862614,77915417521,5855868701,0.39292043852285186,0.13194846682358274,126.01860629649022,58.558686664503746,67.45991963198647
25_noah_scs,noah_scs,25,14.705106191674801,31166668648,10660943543,5.171512968073646e-08,0.001209952250966726,213.3480164353925,106.60943392360869,106.73858251178383
25_program,program,25,4.984055627894998,14659681485,955647078,9.250191238809447e-06,0.0,19.11293171397323,9.556465856986614,9.556465856986614
90_502_gcc_r,502_gcc_r,90,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
25_shared_data_microbench,shared_data_microbench,25,4.591273874925214,7355246754,19894,1.250041349769515e-06,0.9999952541309736,41.91875188777077,0.00019893996207010682,41.91855294780869
90_502xleela,502xleela,90,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
90_527_cam4_r,527_cam4_r,90,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
90_527xleela,527xleela,90,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
90_541_leela_r,541_leela_r,90,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
90_557xleela,557xleela,90,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
90_557_xz_r,557_xz_r,90,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
90_shared_data_microbench,shared_data_microbench,90,4.5914234684640185,7355126618,19177,3.815948418417143e-09,0.9999954263473063,41.92945145600964,0.000191769871508433,41.92925968613813
90_noah_scs,noah_scs,90,10.154367479363465,20996255122,5068658669,1.0002873160823755e-09,0.43665389097519475,140.66073269504838,50.68658565041813,89.97414704463024
60_502_gcc_r,502_gcc_r,60,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
90_flush_and_reload,flush_and_reload,90,6.973341935653477,722770490,132165001,0.0,0.0020093090523089835,62.935252689784875,31.435980458474678,31.499272231310194
90_fill_private_microbench,fill_private_microbench,90,5.111790778725834,66894467851,8079,0.00649531659227066,0.9999992700950939,110.68573072013179,8.078999891983772e-05,110.68564993013287
90_program,program,90,4.982663408749216,14658420112,951983507,3.350549791401157e-08,0.0032286726038704134,19.070504285500824,9.51983414924164,9.550670136259184
60_502xleela,502xleela,60,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
60_527xleela,527xleela,60,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
60_fill_private_microbench,fill_private_microbench,60,5.063089569766187,66877187332,8098,0.14321254356162016,0.9999991492302739,95.18446839554977,8.097999521489209e-05,95.18438741555455
30_502xleela,502xleela,30,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
60_program,program,60,4.983091977513886,14658415698,953703505,1.97457792780786e-05,4.907183080383372e-07,19.074064951515812,9.537030135759112,9.5370348157567
60_flush_and_reload,flush_and_reload,60,6.973615457977763,719402607,132263563,1.4750623881077099e-05,5.897312323346671e-07,62.91886621087337,31.459423829128824,31.459442381744545
60_shared_data_microbench,shared_data_microbench,60,4.589653281298489,7355316313,19198,6.123840039831676e-07,0.9999954075955828,41.803969949763356,0.00019197985460405712,41.80377796990876
30_527xleela,527xleela,30,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
30_502_gcc_r,502_gcc_r,30,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
60_noah_scs,noah_scs,60,13.488417094351664,28547291808,9362855516,1.8290480490596499e-07,0.034116427104730056,190.5641451550628,93.6285240519229,96.9356211031399
30_shared_data_microbench,shared_data_microbench,30,4.592613382124652,7355757620,19847,6.090876004225089e-07,0.9999952760574566,42.01383053940056,0.00019846998393583952,42.01363206941662
30_program,program,30,4.984074685387656,14659681985,955685556,9.291672794366176e-06,1.0463692714360023e-09,19.11370433870971,9.556852164354858,9.556852174354853
30_flush_and_reload,flush_and_reload,30,6.9746353236244385,715241858,132358103,3.762505770214359e-06,0.0,62.963821101605845,31.481910550802922,31.481910550802922
30_fill_private_microbench,fill_private_microbench,30,7.016384757201623,80364347353,7116888154,0.04968925643570834,0.32637274817402107,176.81910355835075,71.16887387582398,105.65022968252677
30_noah_scs,noah_scs,30,14.599643464218445,30927267041,10523995867,5.65001049660264e-08,0.012280889131427648,211.78841165060464,105.23995090855362,106.54846074205102
0_gapbs_all_cores,gapbs_all_cores,0,4.027000871399133,48552223545,24831230,0.0025023778273569395,0,0.2483122602303084,0.0,0.2483122602303084
60_557_xz_r,557_xz_r,60,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
60_541_leela_r,541_leela_r,60,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
30_557xleela,557xleela,30,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
60_557xleela,557xleela,60,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
30_541_leela_r,541_leela_r,30,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
100_4xgapbs,4xgapbs,100,4.046066067688024,12316226566,42154601,0,0.009083048653084179,0.4215458795526276,0.4215458795526276,0.0
30_527_cam4_r,527_cam4_r,30,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
